spectral_index,P12C,P14N,P16O,4He4He,4He12C,4He14N,4He16O,3He4He
2.0,0.007244924,0.01447285,0.004124329,0.07136699,0.07885383,0.03473527,0.0234425,0.0
2.1,0.007111518,0.0146116,0.004007436,0.07392449,0.08024256,0.03562368,0.02395066,0.0
2.2,0.006981326,0.01475592,0.003893958,0.07659188,0.08168183,0.0365474,0.0244774,0.0
2.3,0.006854263,0.01490597,0.003783799,0.07937422,0.08317336,0.03750788,0.0250234,0.0
2.4,0.00673025,0.0150618,0.003676866,0.08227681,0.08471895,0.03850667,0.02558936,0.0
2.5,0.006609211,0.01522351,0.003573068,0.08530521,0.08632048,0.03954535,0.02617602,0.0
2.6,0.006491068,0.01539118,0.003472316,0.08846526,0.08797989,0.04062562,0.02678415,0.0
2.7,0.006375748,0.01556492,0.003374524,0.09176309,0.08969923,0.04174922,0.02741455,0.0
2.8,0.006263177,0.01574482,0.003279607,0.09520511,0.09148061,0.04291799,0.02806806,0.0
2.9,0.006153286,0.01593099,0.003187482,0.09879805,0.09332624,0.04413385,0.02874555,0.0
3.0,0.006046004,0.01612354,0.00309807,0.102549,0.09523841,0.04539883,0.02944792,0.0
3.1,0.005941266,0.01632257,0.003011293,0.1064653,0.09721952,0.04671503,0.03017612,0.0
3.2,0.005839015,0.01652823,0.002927074,0.1105548,0.09927206,0.04808466,0.03093115,0.0
3.3,0.005739156,0.01674061,0.002845336,0.1148255,0.1013986,0.04951003,0.03171403,0.0
3.4,0.005641658,0.01695986,0.00276601,0.1192862,0.1036019,0.05099357,0.03252584,0.0
