channel,E_kin_th_MeV_per_n,E_eff_th_MeV_per_n
3He4He_a6,931.0423333333334,2.4253
4He12C_a10,0.0,9.0
4He12C_a11,0.0,5.5
4He12C_a6,0.0,10.0
4He12C_a7,0.0,10.0
4He12C_a9,0.0,10.5
4He14N_a10,0.0,4.0
4He14N_a11,0.0,8.0
4He14N_a6,0.0,4.0
4He14N_a7,0.0,8.0
4He14N_a9,0.0,8.0
4He16O_a10,0.0,10.0
4He16O_a11,0.0,9.5
4He16O_a6,0.0,8.5
4He16O_a7,0.0,9.0
4He16O_a9,0.0,10.0
4He4He_a6,468.53475000000026,11.31767
4He4He_a7,701.6134999999999,9.0242
P12C_a10,941.7850000000017,24.0
P12C_a11,1869.3469999999998,18.0
P12C_a6,0.0,27.0
P12C_a7,0.0,27.0
P12C_a9,9.039999999999054,33.0
P13C_a10,3.981000000001586,5.8
P13C_a6,0.0,10.9
P13C_a9,0.0,14.0
P14N_a10,0.0,15.0
P14N_a11,0.4289999999982683,5.0
P14N_a6,0.0,21.0
P14N_a7,0.0,14.0
P14N_a9,0.0,25.0
P16O_a10,0.0,33.0
P16O_a11,0.0,29.0
P16O_a6,0.0,30.0
P16O_a7,0.0,33.0
P16O_a9,0.0,48.0
